"","x"
"1",0.2
"2",0.1
"3",0
"4",0
"5",0.1
"6",0
"7",0.3
"8",0
"9",0.1
"10",0.4
"11",0.2
"12",0.1
"13",0.4
"14",0.2
"15",0.2
"16",0.4
"17",0.2
"18",0.1
"19",0.3
"20",0.2
"21",0.2
"22",0.2
"23",0
"24",0.4
"25",0.3
"26",0.2
"27",0.2
"28",0.1
"29",0.1
"30",0.1
"31",0.2
"32",0.2
"33",0.4
"34",0.1
"35",0.3
"36",0
"37",0.1
"38",0.2
"39",0
"40",0.2
"41",0.2
"42",0.2
"43",0.1
"44",0.2
"45",0
"46",0.1
"47",0.1
"48",0.2
"49",0.1
"50",0.2
"51",0.1
"52",0
"53",0.4
"54",0.2
"55",0.1
"56",0.1
"57",0
"58",0.1
"59",0.1
"60",0.4
"61",0
"62",0.4
"63",0.2
"64",0.1
"65",0.3
"66",0.3
"67",0
"68",0.3
"69",0
"70",0.2
"71",0.2
"72",0.2
"73",0.2
"74",0.1
"75",0.1
"76",0.1
"77",0.1
"78",0
"79",0.1
"80",0.1
"81",0
"82",0.3
"83",0.2
"84",0
"85",0.2
"86",0.3
"87",0.2
"88",0.1
"89",0.1
"90",0.1
"91",0.1
"92",0
"93",0.2
"94",0
"95",0.1
"96",0.2
"97",0.1
"98",0.1
"99",0.2
"100",0.1
"101",0.1
"102",0
"103",0.2
"104",0.1
"105",0.1
"106",0.2
"107",0.2
"108",0
"109",0.2
"110",0.1
"111",0.1
"112",0.1
"113",0.1
"114",0.1
"115",0.2
"116",0.2
"117",0.1
"118",0
"119",0.1
"120",0.2
"121",0.1
"122",0.1
"123",0
"124",0.3
"125",0
"126",0
"127",0.3
"128",0.3
"129",0.2
"130",0
"131",0.1
"132",0.2
"133",0.1
"134",0.2
"135",0.2
"136",0.3
"137",0.3
"138",0.1
"139",0.1
"140",0
"141",0.2
"142",0
"143",0.3
"144",0.1
"145",0.1
"146",0.1
"147",0.1
"148",0
"149",0.1
"150",0.4
"151",0.2
"152",0.1
"153",0.2
"154",0.2
"155",0.3
"156",0.1
"157",0.1
"158",0.1
"159",0.1
"160",0.1
"161",0
"162",0.2
"163",0.2
"164",0.2
"165",0.1
"166",0.3
"167",0.3
"168",0.3
"169",0.3
"170",0.4
"171",0.1
"172",0.3
"173",0
"174",0
"175",0.3
"176",0
"177",0.1
"178",0.2
"179",0.2
"180",0.1
"181",0.1
"182",0.2
"183",0.1
"184",0.1
"185",0.1
"186",0.4
"187",0.3
"188",0.1
"189",0.1
"190",0.2
"191",0
"192",0.1
"193",0.2
"194",0.1
"195",0
"196",0.1
"197",0
"198",0.1
"199",0.2
"200",0.1
"201",0.2
"202",0.2
"203",0.2
"204",0.2
"205",0.4
"206",0.1
"207",0
"208",0.3
"209",0.1
"210",0.2
"211",0.4
"212",0.2
"213",0
"214",0.2
"215",0.1
"216",0.1
"217",0.2
"218",0.1
"219",0.1
"220",0.2
"221",0.3
"222",0.1
"223",0.5
"224",0.2
"225",0.3
"226",0.1
"227",0.1
"228",0.2
"229",0.3
"230",0.1
"231",0.1
"232",0.2
"233",0.2
"234",0.5
"235",0.5
"236",0.2
"237",0.3
"238",0.2
"239",0.1
"240",0.1
"241",0.2
"242",0.2
"243",0
"244",0.4
"245",0.2
"246",0.1
"247",0
"248",0.3
"249",0.2
"250",0.3
"251",0.2
"252",0.1
"253",0.2
"254",0.1
"255",0.3
"256",0.3
"257",0
"258",0.2
"259",0.1
"260",0
"261",0.2
"262",0.1
"263",0
"264",0.3
"265",0.2
"266",0.1
"267",0
"268",0.2
"269",0.1
"270",0.2
"271",0.1
"272",0.1
"273",0.2
"274",0.1
"275",0.1
"276",0.1
"277",0.1
"278",0
"279",0
"280",0.3
"281",0.1
"282",0.2
"283",0
"284",0.2
"285",0.3
"286",0.1
"287",0.3
"288",0
"289",0.1
"290",0.2
"291",0.3
"292",0
"293",0.3
"294",0.1
"295",0.1
"296",0.2
"297",0.2
"298",0.1
"299",0.2
"300",0.1
"301",0.2
"302",0.1
"303",0
"304",0.1
"305",0.2
"306",0.2
"307",0
"308",0.1
"309",0.2
"310",0
"311",0
"312",0.4
"313",0.1
"314",0
"315",0.3
"316",0.1
"317",0.2
"318",0.3
"319",0.2
"320",0.1
"321",0.2
"322",0
"323",0
"324",0.3
"325",0.1
"326",0.2
"327",0.2
"328",0.3
"329",0.3
"330",0.4
"331",0.1
"332",0
"333",0.1
"334",0.1
"335",0.3
"336",0.1
"337",0.2
"338",0.1
"339",0.1
"340",0
"341",0.2
"342",0.2
"343",0.1
"344",0.2
"345",0.2
"346",0.1
"347",0
"348",0
"349",0.1
"350",0.3
"351",0.1
"352",0.2
"353",0.1
"354",0
"355",0
"356",0.1
"357",0.3
